canonicalId,name,description,module,path
synapse-advanced-elicitation,synapse-advanced-elicitation,"Push the LLM to reconsider, refine, and improve its recent output. Use when user asks for deeper critique or mentions a known deeper critique method, e.g. socratic, first principles, pre-mortem, red team.",core,skills/synapse-advanced-elicitation/SKILL.md
synapse-adversarial-plan,synapse-adversarial-plan,"Create implementation plans with adversarial rigor. Includes red-team analysis, risk assessment, and secondary effect analysis.",core,skills/synapse-adversarial-plan/SKILL.md
synapse-agent-browser,synapse-agent-browser,"Automated browser orchestration for research, data collection, and UI testing using browser sub-agents.",core,skills/synapse-agent-browser/SKILL.md
synapse-autoresearch,synapse-autoresearch,"Autonomous iterative optimization loop — run N iterations against a mechanical metric (coverage, size, errors). Use for improving measurable project metrics automatically.",core,skills/synapse-autoresearch/SKILL.md
synapse-better-auth,synapse-better-auth,"Expert integration of Better Auth framework. Includes feature matrix, plugin configuration, and security checklists.",core,skills/synapse-better-auth/SKILL.md
synapse-checkpoint-preview,synapse-checkpoint-preview,"LLM-assisted human-in-the-loop review. Make sense of a change, focus attention where it matters, test. Use when the user says ""checkpoint"", ""human review"", or ""walk me through this change"".",synapse,skills/synapse-checkpoint-preview/SKILL.md
synapse-code-review,synapse-code-review,"Master Review Suite: Automatically dispatches multiple review layers (Adversarial, Edge-Case, Prose-UI, Security) based on code context. High-fidelity analysis with zero manual configuration.",core,skills/synapse-code-review/SKILL.md
synapse-coding-level,synapse-coding-level,Adjust AI response style based on user expertise (Level 0-5). Includes God Mode for experts.,core,skills/synapse-coding-level/SKILL.md
synapse-copywriting,synapse-copywriting,"Conversion copywriting formulas, headline templates, email copy patterns, landing page structures, CTA optimization, and writing style extraction.",core,skills/synapse-copywriting/SKILL.md
synapse-core-system,synapse-core-system,"Master Core System: The central management layer for Synapse operations, covering Project Admin, Context Optimization, and Agent Orchestration.",core,skills/synapse-core-system/SKILL.md
synapse-correct-course,synapse-correct-course,"Manage significant changes during sprint execution. Use when the user says ""correct course"" or ""propose sprint change""",synapse,skills/synapse-correct-course/SKILL.md
synapse-create-architecture,synapse-create-architecture,"Create architecture solution design decisions for AI agent consistency. Use when the user says ""lets create architecture"" or ""create technical architecture"" or ""create a solution design""",synapse,skills/synapse-create-architecture/SKILL.md
synapse-design-suite,synapse-design-suite,"Master Design Suite: A comprehensive design intelligence layer covering UX Strategy, Visual Design, AI Art Generation, and Frontend Implementation.",synapse,skills/synapse-design-suite/SKILL.md
synapse-dev-story,synapse-dev-story,"Execute story implementation following a context filled story spec file. Use when the user says ""dev this story [story file]"" or ""implement the next story in the sprint plan""",synapse,skills/synapse-dev-story/SKILL.md
synapse-document-project,synapse-document-project,"Document brownfield projects for AI context. Use when the user says ""document this project"" or ""generate project docs""",synapse,skills/synapse-document-project/SKILL.md
synapse-editorial-review-prose,synapse-editorial-review-prose,Clinical copy-editor that reviews text for communication issues. Use when user says review for prose or improve the prose,core,skills/synapse-editorial-review-prose/SKILL.md
synapse-editorial-review-structure,synapse-editorial-review-structure,"Structural editor that proposes cuts, reorganization, and simplification while preserving comprehension. Use when user requests structural review or editorial review of structure",core,skills/synapse-editorial-review-structure/SKILL.md
synapse-generate-project-context,synapse-generate-project-context,"Create project-context.md with AI rules. Use when the user says ""generate project context"" or ""create project context""",synapse,skills/synapse-generate-project-context/SKILL.md
synapse-index-docs,synapse-index-docs,Generates or updates an index.md to reference all docs in the folder. Use if user requests to create or update an index of all files in a specific folder,core,skills/synapse-index-docs/SKILL.md
synapse-journal,synapse-journal,"Write technical journal entries analyzing recent changes, decisions, and session reflections.",core,skills/synapse-journal/SKILL.md
synapse-mcp-builder,synapse-mcp-builder,Build MCP servers for LLM-external service integration. Supports FastMCP (Python) and MCP SDK (Node/TypeScript).,core,skills/synapse-mcp-builder/SKILL.md
synapse-memory,synapse-memory,Submit and retrieve AI lessons via the Synapse Knowledge Portal. Uses a centralized API with mandatory section-based tagging. Core capability for all agents.,core,skills/synapse-memory/SKILL.md
synapse-party-mode,synapse-party-mode,"Orchestrates group discussions between installed Synapse agents, enabling natural multi-agent conversations where each agent is a real subagent with independent thinking.",core,skills/synapse-party-mode/SKILL.md
synapse-plans-kanban,synapse-plans-kanban,"View plans dashboard with progress tracking and timeline visualization. Use for kanban boards, plan status overview, phase progress, milestone tracking, project visibility.",core,skills/synapse-plans-kanban/SKILL.md
synapse-product-suite,synapse-product-suite,"Master Product Suite: An end-to-end management layer covering Ideation, PRD Definition, Work Decomposition (Epics/Stories), and Sprint Execution.",synapse,skills/synapse-product-suite/SKILL.md
synapse-qa-generate-e2e-tests,synapse-qa-generate-e2e-tests,"Generate end to end automated tests for existing features. Use when the user says ""create qa automated tests for [feature]""",synapse,skills/synapse-qa-generate-e2e-tests/SKILL.md
synapse-quick-dev,synapse-quick-dev,"Implements any user intent, requirement, story, bug fix or change request by producing clean working code artifacts that follow the project's existing architecture, patterns and conventions.",synapse,skills/synapse-quick-dev/SKILL.md
synapse-research-center,synapse-research-center,"Master Research Center: A unified engine for Domain Analysis, Market Intelligence, Technical Research, and Documentation Lookup.",synapse,skills/synapse-research-center/SKILL.md
synapse-scout,synapse-scout,"Fast codebase scouting using parallel agents. Use for file discovery, task context gathering, quick searches across directories.",core,skills/synapse-scout/SKILL.md
synapse-security-scan,synapse-security-scan,"Scan codebase for security vulnerabilities, hardcoded secrets, and dependency issues. Use when asked to 'security scan', 'audit security', or before releases.",core,skills/synapse-security-scan/SKILL.md
synapse-tanstack,synapse-tanstack,"Best practices for TanStack Query and Router. Includes project initialization, query hooks, and routing patterns.",core,skills/synapse-tanstack/SKILL.md
synapse-disruptive-ideation,synapse-disruptive-ideation,"Disruptive Ideation Frameworks: First Principles Thinking, Worst Possible Idea, ERRC Blue Ocean Strategy, SCAMPER, and Sci-Fi Prototyping.",synapse,skills/synapse-disruptive-ideation/SKILL.md
synapse-trend-forecasting,synapse-trend-forecasting,"Trend Forecasting & Futurism: Weak Signals, STEEP Analysis, Futures Cone, and Cross-Industry Analogy mapping.",synapse,skills/synapse-trend-forecasting/SKILL.md
synapse-radical-experience,synapse-radical-experience,"Radical Experience Design: Peak-End Rule, Extreme Personas, Gamification Mechanics, and Invisible/Zero-Click UI.",synapse,skills/synapse-radical-experience/SKILL.md
synapse-qa-automation,synapse-qa-automation,"Advanced QA Automation: End-to-End browser testing, visual regression testing, accessibility (WCAG) compliance, and performance audits.",synapse,skills/synapse-qa-automation/SKILL.md
synapse-security-pentest,synapse-security-pentest,"Penetration Testing & Chaos Engineering: SQL Injection, XSS, IDOR exploits, Chaos Resilience, and Extreme Payload Fuzzing.",synapse,skills/synapse-security-pentest/SKILL.md
synapse-threat-intelligence,synapse-threat-intelligence,"CVE & Threat Intelligence Monitoring: Real-time CVE audits, GitHub Advisory tracking, and proactive dependency patching.",synapse,skills/synapse-threat-intelligence/SKILL.md
